,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
4,103,CHI,Karon Riley,LB,23,2004,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,13,,,Minnesota,College Stats
4,104,SEA,Orlando Huff,LB,23,2006,0,0,3,22,12,87,0,0,0,0,0,0,0,0,0,0,0,222,2,3,Fresno St.,College Stats
4,105,GNB,Bill Ferrario,G,22,2002,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
4,106,CAR,Chris Weinke,QB,29,2007,0,0,1,9,9,29,386,709,3904,15,26,54,148,6,0,0,0,,,,Florida St.,College Stats
4,107,KAN,Monty Beisel,LB,23,2009,0,0,0,13,5,119,0,0,0,0,0,0,0,0,0,0,0,200,2,4.5,Kansas St.,College Stats
4,108,KAN,George Layne,RB,22,2004,0,0,0,0,,11,0,0,0,0,0,3,32,0,4,20,0,6,,,TCU,College Stats
4,109,WAS,Sage Rosenfels,QB,23,2010,0,0,0,13,,44,351,562,4156,30,29,48,95,1,0,0,0,1,,,Iowa St.,College Stats
4,110,BUF,Brandon Spoon,LB,23,2001,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,0,0,45,2,,North Carolina,
4,111,PIT,Mathias Nkwenti,T,23,2003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Temple,
4,112,SDG,Carlos Polk,LB,24,2008,0,0,0,7,7,74,0,0,0,0,0,0,0,0,0,0,0,101,,4,Nebraska,College Stats
4,113,DEN,Ben Hamilton,G,24,2010,0,0,7,54,52,118,0,0,0,0,0,0,0,0,0,0,0,1,,,Minnesota,College Stats
4,114,NYG,Cedric Scott,DE,23,2002,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Southern Miss,College Stats
4,115,NOR,Moran Norris,FB,23,2011,0,0,4,1,0,140,0,0,0,0,0,28,67,1,38,198,3,19,,,Kansas,College Stats
4,116,STL,Milton Wynn,WR,22,2002,0,0,0,1,,4,0,0,0,0,0,0,0,0,4,69,0,,,,Washington St.,College Stats
4,117,TAM,John Howell,DB,23,2006,0,0,0,7,6,65,0,0,0,0,0,0,0,0,0,0,0,93,,,Colorado St.,College Stats
4,118,IND,Ryan Diem,T,22,2011,0,0,10,72,72,157,0,0,0,0,0,0,0,0,0,0,0,3,,,Northern Illinois,
4,119,NWE,Jabari Holloway,TE,22,2003,0,0,2,1,,26,0,0,0,0,0,0,0,0,15,157,0,,,,Notre Dame,College Stats
4,120,DEN,Nick Harris,P,23,2012,0,0,0,18,,183,0,1,0,0,0,2,-7,0,0,0,0,12,,,California,College Stats
4,121,PHI,Correll Buckhalter,RB,22,2010,0,0,0,27,21,103,0,0,0,0,0,655,2944,21,144,1410,6,9,,,Nebraska,College Stats
4,122,DAL,Markus Steele,LB,22,2003,0,0,1,8,8,42,0,0,0,0,0,0,0,0,0,0,0,73,,,USC,
4,123,ARI,Marcus Bell,DT,22,2006,0,0,2,14,8,86,0,0,0,0,0,0,0,0,0,0,0,131,,6.5,Memphis,College Stats
4,124,TEN,Justin McCareins,WR,22,2008,0,0,5,33,16,114,0,0,0,0,0,8,42,0,240,3676,16,10,,,Northern Illinois,College Stats
4,125,NYG,Jesse Palmer,QB,22,2003,0,0,0,1,1,8,63,120,562,3,4,5,20,0,0,0,0,,,,Florida,College Stats
4,126,BAL,Ed Hartwell,LB,23,2006,0,0,3,28,24,77,0,0,0,0,0,0,0,0,0,0,0,280,1,7,Western Illinois,
4,127,SEA,Curtis Fuller,DB,23,2004,0,0,0,3,2,42,0,0,0,0,0,0,0,0,0,0,0,41,1,,TCU,College Stats
4,128,SEA,Floyd Womack,T,22,2010,0,0,5,30,22,120,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi St.,
4,129,STL,Brandon Manumaleuna,TE,21,2010,0,0,7,8,6,158,0,0,0,0,0,6,18,0,115,1008,13,1,,,Arizona,College Stats
4,130,MIN,Shawn Worthen,DT,25,2001,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,,,TCU,
4,131,MIN,Cedric James,WR,22,2002,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,29,0,1,,,TCU,College Stats
5,132,SDG,Elliot Silvers,T,,,0,0,0,,,,,,,,,,,,,,,,,,Washington,
5,133,ARI,Mario Fatafehi,DT,22,2004,0,0,2,13,1,45,0,0,0,0,0,0,0,0,0,0,0,43,,5,Kansas St.,
5,134,CLE,Jeremiah Pharms,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
5,135,CIN,Victor Leyva,G,23,2002,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,College Stats
5,136,ATL,Vinny Sutherland,WR,23,2002,0,0,0,0,,18,0,0,0,0,0,1,16,0,1,5,0,1,,,Purdue,College Stats
5,137,DAL,Matt Lehr,C,22,2008,0,0,3,23,9,98,0,0,0,0,0,0,0,0,0,0,0,2,,,Virginia Tech,
5,138,CHI,Bernard Robertson,T,22,2002,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,,,,Tulane,
5,139,SDG,Zeke Moreno,LB,22,2005,0,0,1,10,10,61,0,0,0,0,0,0,0,0,0,0,0,139,1,3,USC,College Stats
5,140,SEA,Alex Bannister,WR,22,2006,0,1,0,1,1,59,0,0,0,0,0,0,0,0,9,121,1,45,,,East. Kentucky,
5,141,KAN,Bill Baber,TE,22,2004,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,37,1,,,,Virginia,College Stats
5,142,JAX,David Leaverton,P,,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats
5,143,CAR,Jarrod Cooper,DB,23,2007,0,0,1,7,2,87,0,0,0,0,0,0,0,0,0,0,0,114,,1.5,Kansas St.,
5,144,BUF,Marques Sullivan,G,23,2003,0,0,1,11,11,32,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,
5,145,STL,Jerametrius Butler,DB,22,2007,0,0,2,17,16,70,0,0,0,0,0,0,0,0,0,0,0,186,9,,Kansas St.,College Stats
5,146,PIT,Chukky Okobi,C,22,2007,0,0,0,7,7,78,0,0,0,0,0,0,0,0,0,0,0,,,,Purdue,College Stats
5,147,PHI,Tony Stewart,TE,22,2009,0,0,1,5,0,115,0,0,0,0,0,0,0,0,76,623,3,43,,,Penn St.,College Stats
5,148,DET,Scotty Anderson,WR,21,2003,0,0,0,8,8,34,0,0,0,0,0,0,0,0,54,858,4,,,,Grambling St.,
5,149,DET,Mike McMahon,QB,22,2005,0,0,0,6,5,29,229,515,2867,15,21,82,409,7,1,7,0,,,,Rutgers,College Stats
5,150,KAN,Derrick Blaylock,RB,22,2006,0,0,0,11,10,51,0,0,0,0,0,198,820,10,53,520,2,19,,,S.F. Austin,
5,151,TAM,Russ Hochstein,C,23,2012,0,0,1,27,0,149,0,0,0,0,0,0,0,0,0,0,0,1,,,Nebraska,
5,152,IND,Raymond Walls,DB,22,2005,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,40,1,,Southern Miss,College Stats
5,153,NOR,Onomo Ojo,WR,,,0,0,0,,,,,,,,,,,,,,,,,,UC Davis,
5,154,WAS,Darnerien McCants,WR,24,2005,0,0,0,7,6,41,0,0,0,0,0,1,9,0,58,774,8,4,,,Delaware St.,
