Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
40,Brad Johnson,TAM,36,,4,4,0-4-0,65,103,63.1,674,3,2.9,3,2.9,28,54,6.5,5.8,10.4,168.5,79.5,8,55,7.2,5.58,4.9,,
41,Jon Kitna,CIN,32,,4,3,2/1/2000,61,104,58.7,623,5,4.8,4,3.8,32,30,6,5.2,10.2,155.8,75.9,6,41,5.5,5.29,4.56,1,1
42,Luke McCown,CLE,23,,5,4,0-4-0,48,98,49,608,4,4.1,7,7.1,19,58,6.2,3.8,12.7,121.6,52.6,12,122,10.9,4.42,2.28,,
43,Rex Grossman,CHI,24,,3,3,1/2/2000,47,84,56,607,1,1.2,3,3.6,29,40,7.2,5.9,12.9,202.3,67.9,5,22,5.6,6.57,5.28,,
44,Rich Gannon,OAK,39,,3,3,2/1/2000,41,68,60.3,524,3,4.4,2,2.9,23,58,7.7,7.3,12.8,174.7,86.9,5,17,6.8,6.95,6.53,,
45,Shaun King,ARI,27,,3,2,0-2-0,47,84,56,502,1,1.2,4,4.8,26,40,6,4.1,10.7,167.3,57.7,6,42,6.7,5.11,3.33,,
46,Quincy Carter,NYJ,27,,7,3,2/1/2000,35,58,60.3,498,3,5.2,1,1.7,25,69,8.6,8.8,14.2,71.1,98.2,12,70,17.1,6.11,6.33,1,1
47,Chris Simms,TAM,24,,5,2,1/1/2000,42,73,57.5,467,1,1.4,3,4.1,21,75,6.4,4.8,11.1,93.4,64.1,10,75,12,4.72,3.34,,
48,Chris Chandler,STL,39,,5,2,0-2-0,35,62,56.5,463,2,3.2,8,12.9,15,75,7.5,2.3,13.2,92.6,51.4,7,54,10.1,5.93,1.29,,
49,Jonathan Quinn,CHI,29,,5,3,0-3-0,51,98,52,413,1,1,3,3.1,18,32,4.2,3,8.1,82.6,53.7,15,109,13.3,2.69,1.67,,
50,David Garrard,JAX,26,,4,2,1/1/2000,38,72,52.8,374,2,2.8,1,1.4,21,36,5.2,5.1,9.8,93.5,71.2,6,35,7.7,4.35,4.28,0,1
51,Trent Dilfer,SEA,32,,5,2,2-0-0,25,58,43.1,333,1,1.7,3,5.2,12,56,5.7,3.8,13.3,66.6,46.1,4,21,6.5,5.03,3.18,0,0
52,Matt Schaub,ATL,23,,6,1,0-1-0,33,70,47.1,330,1,1.4,4,5.7,15,59,4.7,2.4,10,55,42,4,14,5.4,4.27,2.11,,
53,Tommy Maddox,PIT,33,,4,3,2/1/2000,30,60,50,329,1,1.7,2,3.3,15,39,5.5,4.3,11,82.3,58.3,6,37,9.1,4.42,3.36,0,1
54,Craig Nall,GNB,25,,5,0,,23,33,69.7,314,4,12.1,0,0,19,43,9.5,11.9,13.7,62.8,139.4,2,8,5.7,8.74,11.03,,
55,Doug Flutie,SDG,42,,2,1,1-0-0,20,38,52.6,276,1,2.6,0,0,15,29,7.3,7.8,13.8,138,85,1,7,2.6,6.9,7.41,,
56,Sage Rosenfels,MIA,26,,3,1,0-1-0,16,39,41,264,1,2.6,3,7.7,9,76,6.8,3.8,16.5,88,41,3,16,7.1,5.9,3.17,,
